user_id,case_id,upload_times,every_scores,scores_change,final_score
60778,2092,1,0.0,,0
60778,2162,6,0.0|0.0|0.0|0.0|0.0|100.0,0.0|0.0|0.0|0.0|100.0,100
60778,2324,1,100.0,,100
60778,2362,1,100.0,,100
60778,2363,2,0.0|100.0,100.0,100
60778,2367,1,100.0,,100
60778,2370,1,80.0,,80
60778,2377,1,100.0,,100
60778,2379,1,100.0,,100
60778,2382,1,100.0,,100
60778,2402,1,100.0,,100
60778,2403,5,0.0|0.0|0.0|20.0|100.0,0.0|0.0|20.0|80.0,100
60778,2407,9,0.0|0.0|60.0|60.0|60.0|60.0|60.0|60.0|100.0,0.0|60.0|0.0|0.0|0.0|0.0|0.0|40.0,100
60778,2409,2,0.0|100.0,100.0,100
60778,2411,13,0.0|0.0|0.0|0.0|25.0|25.0|0.0|0.0|25.0|25.0|50.0|25.0|100.0,0.0|0.0|0.0|25.0|0.0|-25.0|0.0|25.0|0.0|25.0|-25.0|75.0,100
60778,2419,2,0.0|100.0,100.0,100
60778,2420,1,100.0,,100
60778,2421,3,33.33|0.0|100.0,-33.33|100.0,100
60778,2442,3,0.0|60.0|100.0,60.0|40.0,100
60778,2471,1,100.0,,100
60778,2483,1,100.0,,100
60778,2484,1,75.0,,75
60778,2485,1,100.0,,100
60778,2487,1,100.0,,100
60778,2518,6,20.0|20.0|0.0|0.0|0.0|100.0,0.0|-20.0|0.0|0.0|100.0,100
60778,2519,10,0.0|0.0|0.0|0.0|60.0|60.0|60.0|60.0|80.0|100.0,0.0|0.0|0.0|60.0|0.0|0.0|0.0|20.0|20.0,100
60778,2521,1,100.0,,100
60778,2523,1,0.0,,0
60778,2528,4,33.33|0.0|33.33|100.0,-33.33|33.33|66.67,100
60778,2529,2,80.0|100.0,20.0,100
60778,2530,5,0.0|100.0|40.0|0.0|100.0,100.0|-60.0|-40.0|100.0,100
60778,2531,3,0.0|0.0|100.0,0.0|100.0,100
60778,2557,1,100.0,,100
60778,2559,1,100.0,,100
60778,2590,1,75.0,,75
60778,2606,5,0.0|50.0|50.0|50.0|100.0,50.0|0.0|0.0|50.0,100
60778,2646,1,100.0,,100
60778,2649,1,100.0,,100
60778,2703,18,50.0|50.0|50.0|50.0|50.0|50.0|50.0|50.0|0.0|0.0|50.0|0.0|50.0|50.0|0.0|0.0|50.0|100.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|-50.0|0.0|50.0|-50.0|50.0|0.0|-50.0|0.0|50.0|50.0,100
60778,2707,4,50.0|50.0|50.0|100.0,0.0|0.0|50.0,100
60778,2715,12,66.67|0.0|33.33|0.0|0.0|33.33|66.67|33.33|33.33|33.33|33.33|33.33,-66.67|33.33|-33.33|0.0|33.33|33.34|-33.34|0.0|0.0|0.0|0.0,33.33
60778,2721,1,100.0,,100
60778,2722,1,100.0,,100
60778,2723,1,100.0,,100
60778,2724,1,100.0,,100
60778,2725,1,100.0,,100
60778,2727,1,100.0,,100
60778,2729,2,0.0|100.0,100.0,100
60778,2730,1,100.0,,100
60778,2731,1,100.0,,100
60778,2759,1,100.0,,100
60778,2760,1,100.0,,100
60778,2761,1,100.0,,100
60778,2815,1,100.0,,100
60778,2819,1,100.0,,100
60778,2824,1,100.0,,100
60778,2830,1,100.0,,100
60778,2831,1,100.0,,100
60778,2832,1,100.0,,100
60778,2834,1,100.0,,100
60778,2836,1,100.0,,100
60778,2837,1,100.0,,100
60778,2838,1,100.0,,100
60778,2840,1,100.0,,100
60778,2843,1,100.0,,100
60778,2844,1,100.0,,100
60778,2845,1,60.0,,60
60778,2848,1,100.0,,100
60778,2849,1,100.0,,100
60778,2850,2,90.0|100.0,10.0,100
60778,2851,1,100.0,,100
60778,2853,2,100.0|100.0,0.0,100
60778,2855,1,100.0,,100
60778,2858,1,100.0,,100
60778,2859,1,80.0,,80
60778,2861,1,100.0,,100
60778,2863,1,100.0,,100
60778,2864,1,40.0,,40
60778,2865,1,100.0,,100
60778,2866,1,100.0,,100
60778,2867,1,100.0,,100
60778,2868,1,100.0,,100
60778,2870,1,100.0,,100
60778,2872,1,100.0,,100
60778,2873,1,100.0,,100
60778,2875,1,100.0,,100
60778,2877,1,100.0,,100
60778,2942,2,0.0|100.0,100.0,100
60778,2945,1,100.0,,100
60778,2946,1,100.0,,100
60778,2957,1,100.0,,100
60778,2961,1,66.67,,66.67
60778,2975,2,80.0|100.0,20.0,100
60778,2978,1,100.0,,100
60778,2979,1,100.0,,100
