case_id,mean_data,median_data,mode_data,try_number,pass_number,average_upload_times,test_cases_number
2251,25.0,0.0,0.0,1,1,4.0,1
2319,30.0,10.0,0.0,1,1,4.0,5
2325,0.0,0.0,0.0,1,0,1.0,5
2327,50.0,50.0,0.0|100.0,1,1,2.0,4
2333,26.923076923076923,25.0,25.0,1,1,13.0,4
2334,18.75,0.0,0.0,1,0,4.0,4
2337,5.555555555555555,0.0,0.0,1,0,9.0,10
2339,25.0,25.0,0.0|50.0,1,0,2.0,6
2387,25.0,25.0,25.0,1,0,2.0,4
2399,16.666666666666668,25.0,25.0,1,0,3.0,4
2440,100.0,100.0,100.0,1,1,1.0,5
2456,40.0,40.0,0.0|80.0,1,0,2.0,5
2479,0.0,0.0,0.0,1,0,2.0,4
2481,50.0,50.0,0.0|100.0,1,1,2.0,5
2488,0.0,0.0,0.0,1,0,2.0,5
2502,20.0,20.0,20.0,1,0,2.0,5
2504,50.0,50.0,0.0|100.0,1,1,2.0,5
2513,100.0,100.0,100.0,1,1,1.0,5
2546,11.11111111111111,0.0,0.0,1,1,9.0,4
2576,91.66499999999999,91.66499999999999,83.33|100.0,1,1,2.0,6
2630,16.666666666666668,0.0,0.0,1,0,3.0,2
2634,0.0,0.0,0.0,1,0,3.0,5
2635,25.0,25.0,0.0|50.0,1,0,2.0,2
2639,55.0,60.0,60.0,1,1,4.0,5
2641,50.0,50.0,20.0|80.0,1,0,2.0,5
2642,32.0,40.0,40.0,1,0,5.0,5
2643,33.333333333333336,0.0,0.0,1,1,3.0,5
2645,0.0,0.0,0.0,1,0,2.0,3
2773,100.0,100.0,100.0,1,1,1.0,2
2794,80.0,80.0,80.0,1,0,1.0,10
2805,10.0,10.0,0.0|20.0,1,0,2.0,10
2810,18.0,10.0,10.0,1,0,15.0,10
2811,0.0,0.0,0.0,1,0,1.0,10
2908,25.0,0.0,0.0,1,1,4.0,5
