user_id,case_id,upload_times,every_scores,scores_change,final_score
2843,2533,15,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20.0,20
2843,2542,11,100.0|100.0|100.0|100.0|100.0|100.0|100.0|0.0|100.0|100.0|100.0,0.0|0.0|0.0|0.0|0.0|0.0|-100.0|100.0|0.0|0.0,100
3544,2172,4,100.0|100.0|100.0|100.0,0.0|0.0|0.0,100
3544,2456,5,100.0|100.0|100.0|100.0|100.0,0.0|0.0|0.0|0.0,100
3544,2908,5,0.0|0.0|0.0|0.0|0.0,0.0|0.0|0.0|0.0,40
8160,2335,1,100.0,,100
8160,2361,1,100.0,,100
8160,2374,1,100.0,,100
8160,2410,1,100.0,,100
8160,2413,1,100.0,,100
8160,2414,1,100.0,,100
8160,2417,1,100.0,,100
8160,2418,1,100.0,,100
8160,2422,1,100.0,,100
8160,2475,1,100.0,,100
8160,2476,1,100.0,,100
8160,2526,1,100.0,,100
8160,2528,1,100.0,,100
8160,2529,1,100.0,,100
8160,2533,1,100.0,,100
8160,2534,1,100.0,,100
8160,2538,1,100.0,,100
8160,2539,1,100.0,,100
8160,2542,1,100.0,,100
8160,2544,1,100.0,,100
8160,2545,1,100.0,,100
8160,2571,1,100.0,,100
8160,2573,1,100.0,,100
8160,2574,1,100.0,,100
8160,2577,1,100.0,,100
8160,2580,1,100.0,,100
8160,2581,1,100.0,,100
8160,2582,1,100.0,,100
8160,2583,1,100.0,,100
8160,2584,1,100.0,,100
8160,2585,1,100.0,,100
8160,2586,1,100.0,,100
8160,2587,1,100.0,,100
8160,2591,1,100.0,,100
8160,2594,1,100.0,,100
8160,2595,1,100.0,,100
8160,2606,1,100.0,,100
8160,2608,1,100.0,,100
8160,2609,2,0.0|100.0,100.0,100
8160,2612,1,100.0,,100
8160,2613,1,100.0,,100
8160,2616,1,100.0,,100
8160,2619,1,100.0,,100
8160,2620,2,0.0|100.0,100.0,100
8160,2621,1,100.0,,100
8160,2622,1,100.0,,100
8160,2623,1,100.0,,100
8160,2624,1,100.0,,100
8160,2625,1,100.0,,100
8160,2626,1,100.0,,100
8160,2627,1,100.0,,100
8160,2652,1,100.0,,100
8160,2660,1,100.0,,100
8160,2663,1,100.0,,100
8160,2666,1,100.0,,100
8160,2670,1,100.0,,100
8160,2672,1,100.0,,100
8160,2674,1,100.0,,100
8160,2678,1,100.0,,100
8160,2707,1,100.0,,100
8160,2708,1,100.0,,100
8160,2709,1,100.0,,100
8160,2710,1,100.0,,100
8160,2711,1,100.0,,100
8160,2712,1,100.0,,100
8160,2714,1,100.0,,100
8160,2717,1,100.0,,100
8160,2718,1,100.0,,100
8160,2719,1,100.0,,100
8160,2726,1,100.0,,100
8160,2733,1,100.0,,100
8160,2734,1,100.0,,100
8160,2735,1,100.0,,100
8160,2736,1,100.0,,100
8160,2737,1,100.0,,100
8160,2738,1,100.0,,100
8160,2739,2,0.0|100.0,100.0,100
8160,2741,2,0.0|100.0,100.0,100
8160,2742,1,100.0,,100
8160,2743,1,100.0,,100
8160,2745,1,100.0,,100
8160,2746,1,100.0,,100
8160,2748,1,100.0,,100
8160,2752,1,100.0,,100
8160,2753,1,100.0,,100
8160,2754,1,100.0,,100
8160,2762,1,100.0,,100
8160,2763,1,100.0,,100
8160,2764,1,100.0,,100
8160,2765,1,100.0,,100
8160,2766,2,0.0|100.0,100.0,100
8160,2767,1,100.0,,100
8160,2768,1,100.0,,100
8160,2769,1,100.0,,100
8160,2770,1,100.0,,100
8160,2771,1,100.0,,100
8160,2772,1,100.0,,100
8160,2773,1,100.0,,100
8160,2774,1,100.0,,100
8160,2775,1,100.0,,100
8160,2776,1,100.0,,100
8160,2777,1,100.0,,100
8160,2778,1,100.0,,100
8160,2779,1,100.0,,100
8160,2780,1,100.0,,100
8160,2841,1,100.0,,100
8160,2856,1,100.0,,100
8160,2860,1,100.0,,100
8160,2862,1,100.0,,100
8160,2869,1,100.0,,100
8160,2871,1,100.0,,100
8160,2874,1,100.0,,100
8160,2876,1,100.0,,100
8160,2879,1,100.0,,100
