user_id,case_id,upload_times,every_scores,scores_change,final_score
60581,2061,1,100.0,,100
60581,2063,1,100.0,,100
60581,2064,2,75.0|100.0,25.0,100
60581,2065,3,25.0|25.0|100.0,0.0|75.0,100
60581,2067,3,0.0|0.0|100.0,0.0|100.0,100
60581,2068,1,100.0,,100
60581,2069,1,100.0,,100
60581,2070,3,66.67|100.0|100.0,33.33|0.0,100
60581,2080,2,100.0|100.0,0.0,100
60581,2081,2,0.0|100.0,100.0,100
60581,2086,2,0.0|100.0,100.0,100
60581,2093,1,100.0,,100
60581,2094,1,50.0,,100
60581,2095,2,100.0|100.0,0.0,100
60581,2096,4,50.0|50.0|50.0|100.0,0.0|0.0|50.0,100
60581,2097,4,0.0|25.0|75.0|75.0,25.0|50.0|0.0,100
60581,2098,2,33.33|100.0,66.67,100
60581,2099,1,100.0,,100
60581,2100,2,100.0|100.0,0.0,100
60581,2105,1,100.0,,100
60581,2106,1,100.0,,100
60581,2108,1,100.0,,100
60581,2109,1,100.0,,100
60581,2110,1,100.0,,100
60581,2111,3,0.0|0.0|100.0,0.0|100.0,100
60581,2113,2,0.0|100.0,100.0,100
60581,2114,1,100.0,,100
60581,2115,4,0.0|0.0|0.0|0.0,0.0|0.0|0.0,100
60581,2116,1,100.0,,100
60581,2117,1,100.0,,100
60581,2119,1,100.0,,100
60581,2120,5,66.67|33.33|33.33|66.67|100.0,-33.34|0.0|33.34|33.33,100
60581,2121,2,0.0|100.0,100.0,100
60581,2122,1,100.0,,100
60581,2126,1,100.0,,100
60581,2127,3,100.0|0.0|100.0,-100.0|100.0,100
60581,2134,1,100.0,,100
60581,2140,3,100.0|100.0|100.0,0.0|0.0,100
60581,2141,2,100.0|100.0,0.0,100
60581,2142,1,100.0,,100
60581,2145,1,100.0,,100
60581,2149,1,66.67,,66.67
60581,2152,2,0.0|100.0,100.0,100
60581,2153,2,66.67|100.0,33.33,100
60581,2164,2,0.0|100.0,100.0,100
60581,2167,1,100.0,,100
60581,2169,1,100.0,,100
60581,2171,2,0.0|100.0,100.0,100
60581,2173,1,100.0,,100
